A,B,C
1266,1844,8391
1219,1796,6828
1203,1781,6625
1203,1766,6234
1125,1765,5953
1110,1750,4937
1094,1735,4922
1078,1719,4172
1078,1719,3938
1078,2594,3906
1000,2516,3875
938,2437,15531
2500,2109,14125
2281,2094,11656
1938,2093,11578
1891,1890,3594
1875,4703,3421
1875,3453,3406
1859,2937,3391
1812,1250,3265
1797,1234,2844
1766,1234,2640
1359,1234,2578
1359,1188,3859
1344,1141,3797
1329,1125,3782
1313,1110,3735
1282,1390,3656
1281,1375,3640
1281,1375,1922
1281,1375,1921
1734,1375,1891
1719,1375,1875
1687,1328,1859
1609,1328,1829
1594,1312,2468
1594,1265,2172
1578,1250,2156
1547,1672,2140
1516,1656,2140
1500,1625,2125
1500,1610,2093
1500,1609,2078
1500,1563,2078
1468,1516,1719
1453,1516,1641
1453,1516,1640
1453,1515,1625
1422,1500,1609
1422,1500,1578
1406,1484,1563
1391,1484,1547
1391,1468,1547
1390,1454,1547
1375,1437,1532
1375,1422,1531
1375,1407,1453
,1406,1453
,1391,1438
,,1421
,,1406
,,1375
,,1359
,,1344
,,1296
,,1296
,,1250
,,1235
,,1125
